name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
la paz mexico,2018-12-01,26,5.1,15.1,26,5.1,15.1,9.4,72.1,0.133,100,8.33,rain,0,0,18,22.3,127.5,1007.9,30.7,13.9,227.9,19.7,8,,2018-12-01T06:53:29,2018-12-01T17:56:18,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2018-12-02,24.5,5,15.1,24.5,2.8,15,5.6,59.6,0,0,0,,0,0,,13,162.3,1008.9,26.1,14.9,240.6,20.9,9,,2018-12-02T06:54:07,2018-12-02T17:56:27,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,remote,76683099999,MMMX,76675099999,MMTO"
la paz mexico,2018-12-03,25.3,9,15.6,25.3,7.6,15.4,6.9,59.2,0,0,0,,0,0,14.4,14,88.4,1010.4,12,12,239.1,20.7,9,,2018-12-03T06:54:45,2018-12-03T17:56:37,0.93,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2018-12-04,28,5.2,16,27.6,5.2,15.8,8.7,65.8,0.057,100,4.17,rain,0,0,21.6,21.6,103.6,1013.3,38,10.6,219.8,18.9,8,,2018-12-04T06:55:22,2018-12-04T17:56:48,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,76683099999,MMTO,76675099999,MMMX,76685099999"
la paz mexico,2018-12-05,27,10.1,15.4,27.1,10.1,15.4,9.6,70.9,0.1,100,4.17,rain,0,0,,22.3,3.7,1015.4,74.2,9,172.5,15,7,,2018-12-05T06:56:00,2018-12-05T17:57:01,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76675099999,MMTO,76685099999"
la paz mexico,2018-12-06,26,5,14.8,26,5,14.6,8.2,67.9,1.026,100,4.17,rain,0,0,,29.8,111.3,1016,53.1,10.2,220.3,19,8,,2018-12-06T06:56:37,2018-12-06T17:57:15,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2018-12-07,23.6,7.1,15.6,23.6,5.7,15.5,7.8,63.6,0,0,0,,0,0,43.2,27.4,124.5,1012.9,78.2,12.7,192.8,16.7,7,,2018-12-07T06:57:14,2018-12-07T17:57:30,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,MMMX,76675099999,MMTO"
la paz mexico,2018-12-08,27,4.1,14.6,26.7,4.1,14.6,6.9,63.3,0,0,0,,0,0,18,21.8,161.1,1014.4,27.5,15,232.8,20.1,8,,2018-12-08T06:57:51,2018-12-08T17:57:46,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,MMCB,76680099999,76685099999,76675099999,MMTO"
la paz mexico,2018-12-09,27,4.1,15.5,26.7,4.1,15.5,7.5,61.8,0,0,0,,0,0,18,25.9,104.4,1013.1,36.5,12.4,171.5,14.9,6,,2018-12-09T06:58:27,2018-12-09T17:58:03,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76683099999,MMMX,76685099999,76675099999,MMTO"
la paz mexico,2018-12-10,25,5,14,25,5,14,7.9,69.3,0,0,0,,0,0,,13.8,52.4,1015.9,82.1,7.4,133.4,11.6,6,,2018-12-10T06:59:03,2018-12-10T17:58:21,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,76675099999,MMTO,MMMX"
la paz mexico,2018-12-11,21.7,6,12.1,21.7,4.6,11.8,6.7,72.3,0,0,0,,0,0,,16.6,74.7,1018.1,56.1,5.2,217.9,18.8,8,,2018-12-11T06:59:39,2018-12-11T17:58:41,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76675099999,76685099999,MMTO"
la paz mexico,2018-12-12,22,3.7,12.8,22,3.7,12.7,5.9,65.7,0,0,0,,0,0,,20.9,104.3,1017,60.5,8,228.6,19.8,8,,2018-12-12T07:00:15,2018-12-12T17:59:02,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,MMCB,76680099999,76675099999,MMTO,76685099999"
la paz mexico,2018-12-13,21.8,3.1,13.7,21.8,3.1,13.5,5.6,61.6,0,0,0,,0,0,32.4,25.4,221.7,1012.2,70.1,13.4,193.2,16.7,7,,2018-12-13T07:00:50,2018-12-13T17:59:23,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76683099999,MMMX,76675099999,76685099999,MMTO"
la paz mexico,2018-12-14,21.8,1,13.5,21.8,1,13.5,4.8,58,0,0,0,,0,0,14.4,20.5,143.5,1012.6,65.3,12.8,193.1,16.8,8,,2018-12-14T07:01:24,2018-12-14T17:59:46,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,MMCB,76680099999,76675099999,MMTO,76685099999"
la paz mexico,2018-12-15,21.5,4.1,12,21.5,1.3,11.4,4.2,62.7,0,0,0,,0,0,,15.5,20.3,1016.8,51.7,6.9,215.9,18.7,8,,2018-12-15T07:01:59,2018-12-15T18:00:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76675099999,MMTO,76685099999"
la paz mexico,2018-12-16,25,4,12,25,2.6,11.5,4.1,61.6,0,0,0,,0,0,,20.5,76.5,1017.7,25.9,8.2,234.2,20.1,8,,2018-12-16T07:02:32,2018-12-16T18:00:35,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,76675099999,MMTO,MMMX"
la paz mexico,2018-12-17,23,3.4,13.2,23,1,12.7,2.5,51.2,0,0,0,,0,0,,12.2,111.3,1016.7,58.3,10,230.6,19.8,8,,2018-12-17T07:03:05,2018-12-17T18:01:01,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,MMCB,76680099999,76675099999,76685099999,MMTO"
la paz mexico,2018-12-18,22.7,4,13.4,22.7,4,13.3,6.4,65.5,0,0,0,,0,0,,24.1,116.1,1013.4,50.7,6.2,228.8,19.9,8,,2018-12-18T07:03:38,2018-12-18T18:01:27,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,remote,76683099999,MMTO,MMMX,76675099999"
