name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
la paz mexico,2016-12-01,29,4.1,15.8,28,2.2,15.7,8.1,64,0,0,0,,0,0,37.1,12.4,212.9,1009.4,16.1,12.1,235.1,20.3,8,,2016-12-01T06:53:48,2016-12-01T17:56:23,0.02,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2016-12-02,24.5,7,15.5,24.5,5.1,15.3,8.5,67.1,0,0,0,,0,0,33.5,14.4,192.7,1009.9,57.7,9.7,229.6,19.8,8,,2016-12-02T06:54:26,2016-12-02T17:56:32,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2016-12-03,24.5,6.1,16.7,24.5,4.5,16.5,7.8,59.3,0,0,0,,0,0,40.7,20.5,175.1,1009.2,33.9,13.7,228.3,19.7,8,,2016-12-03T06:55:03,2016-12-03T17:56:43,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,76681099999,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2016-12-04,23.4,9.1,16.2,23.4,9.1,16.2,8.1,62.1,0,0,0,,0,0,39.6,20.7,210.2,1008.1,50.4,15.6,210.7,18.3,8,,2016-12-04T06:55:41,2016-12-04T17:56:55,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,76681099999,MMPB,MMCB,76680099999,76685099999,76675099999,MMTO"
la paz mexico,2016-12-05,28,5,15.8,27.3,4,15.7,6.5,56.4,0,0,0,,0,0,36,24.1,203.9,1008,50.3,20.2,144.6,12.6,6,,2016-12-05T06:56:18,2016-12-05T17:57:08,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2016-12-06,24.5,0.1,14.4,24.5,0.1,14.4,4.6,57.2,0,0,0,,0,0,,22,200.6,1010.7,49.9,15.4,144.6,12.6,5,,2016-12-06T06:56:55,2016-12-06T17:57:22,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2016-12-07,24,5.1,15.3,24,5.1,15.3,5.7,55.8,0,0,0,,0,0,,18.6,175.2,1010.8,37.6,13.6,221.5,19.2,8,,2016-12-07T06:57:32,2016-12-07T17:57:38,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,76681099999,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2016-12-08,25.1,3.1,16,25.1,3.1,15.9,6.6,57.8,0.1,100,4.17,rain,0,0,,14.8,319.1,1012.3,18.3,10.7,232,20,8,,2016-12-08T06:58:09,2016-12-08T17:57:54,0.31,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2016-12-09,21.8,9.1,15.1,21.8,6.8,15,8.3,65.6,0.1,100,4.17,rain,0,0,,25.9,326.8,1015.7,58.6,11.2,200.9,17.5,8,,2016-12-09T06:58:45,2016-12-09T17:58:12,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,76681099999,MMPB,MMCB,76680099999,76685099999,76675099999,MMTO"
la paz mexico,2016-12-10,24,7.1,14.1,24,6.2,14,7.6,67,0,0,0,,0,0,,19.3,340.9,1017.5,59.9,13.7,145.3,12.4,6,,2016-12-10T06:59:21,2016-12-10T17:58:31,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2016-12-11,22.2,3.1,13.2,22.2,3.1,13,6.5,68.8,0,0,0,,0,0,,13,319.4,1015.3,68.9,8.3,192.1,16.9,7,,2016-12-11T06:59:57,2016-12-11T17:58:51,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76675399999,76679399999,76727099999,76680099999,remote,76683099999,76685099999,76675099999,MMMX"
