name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
la paz mexico,2014-12-01,23.5,5,16,23.5,1.7,15.6,3,47.5,0,0,0,,,,,23.3,11.6,1013.2,5.6,11.9,238.9,20.6,9,,2014-12-01T06:53:29,2014-12-01T17:56:19,0.36,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2014-12-02,24,6,14.1,24,4.4,13.5,3.8,54.9,0,0,0,,,,,29.5,12.8,1015.2,16.4,12,242.7,21.1,9,,2014-12-02T06:54:07,2014-12-02T17:56:27,0.41,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2014-12-03,25,-0.9,13.3,25,-0.9,13,2.4,53.5,0,0,0,,,,,13.3,348.2,1013.8,27.9,9.9,244,21.1,9,,2014-12-03T06:54:44,2014-12-03T17:56:37,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2014-12-04,25,0,13.2,25,-0.5,12.9,2.8,54.2,0,0,0,,,,,10.7,15.9,1013.7,10.5,8.9,242.3,21,9,,2014-12-04T06:55:22,2014-12-04T17:56:49,0.48,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2014-12-05,23.2,7.9,15.2,23.2,6.7,15,2.9,48,0,0,0,,,,,17.2,36.2,1014.6,2.5,8.5,239.3,20.9,9,,2014-12-05T06:55:59,2014-12-05T17:57:01,0.49,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMTO,MMMX"
la paz mexico,2014-12-06,25,2,14.8,25,2,14.7,4.8,54.8,0,0,0,,,,,16.6,359,1016.1,22.4,10.4,232.8,20,8,,2014-12-06T06:56:36,2014-12-06T17:57:15,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2014-12-07,26,6.7,13.4,26,4.9,13.1,4.9,60.9,0,0,0,,,,,23.1,23.2,1016.5,20,14.9,236.5,20.5,9,,2014-12-07T06:57:13,2014-12-07T17:57:30,0.51,Clear,Becoming cloudy in the afternoon.,clear-day,"76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,remote,76683099999,76685099999,MMMX,76675099999,MMTO"
la paz mexico,2014-12-08,22.6,2,13.2,22.6,2,12.8,4.1,59.2,0,0,0,,,,,16.9,14.4,1016.7,14.3,14.5,238.3,20.6,9,,2014-12-08T06:57:50,2014-12-08T17:57:46,0.53,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMTO,MMMX"
la paz mexico,2014-12-09,22.3,5,13.3,22.3,3.2,12.6,4.5,58.9,0,0,0,,,,,16.9,356.7,1017.5,45.2,14.9,238.7,20.6,9,,2014-12-09T06:58:27,2014-12-09T17:58:03,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2014-12-10,21,2.1,12.5,21,0.6,12.1,5.7,67.1,0,0,0,,,,,17.3,115.1,1014.4,82.7,9,200.5,17.3,8,,2014-12-10T06:59:03,2014-12-10T17:58:22,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
