name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
la paz mexico,2008-12-01,20.5,6.1,13.2,20.5,3.1,13,4.3,58.8,0,0,0,,,,,16.9,34.2,1013.8,13.9,11,,,,,2008-12-01T06:53:47,2008-12-01T17:56:22,0.06,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-02,20.4,-0.9,10.2,20.4,-3.7,9.9,0,60,0,0,0,,,,,20.5,19.6,1018.8,8.1,8.3,,,,,2008-12-02T06:54:25,2008-12-02T17:56:32,0.1,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76675099999,76685099999"
la paz mexico,2008-12-03,24.4,3.7,14.1,24.4,1.9,14,0.3,44.7,0,0,0,,,,,19.7,111.2,1015.9,10.2,11.9,,,,,2008-12-03T06:55:02,2008-12-03T17:56:42,0.14,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-04,22.3,1.1,12.1,22.3,1.1,11.9,1.7,54.7,0,0,0,,,,,21.8,359.7,1015.2,7.8,10.4,,,,,2008-12-04T06:55:40,2008-12-04T17:56:54,0.18,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-05,24.4,3.1,11.3,24.4,1,11,2.7,61.9,0,0,0,,,,,17.7,96.6,1016.5,4.8,9.3,,,,,2008-12-05T06:56:17,2008-12-05T17:57:07,0.23,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-06,22.1,-1.9,11.2,22.1,-4.9,10.6,1.8,59.6,0,0,0,,,,,16.6,34.4,1016.2,13,8.4,,,,,2008-12-06T06:56:54,2008-12-06T17:57:22,0.28,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-07,22,3.3,13.8,22,3.3,13.6,1.5,50.4,0.371,100,4.17,rain,,,,21.9,6.5,1016.1,20.9,10.9,,,,,2008-12-07T06:57:31,2008-12-07T17:57:37,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-08,21.9,2.1,12.8,21.9,2.1,12.6,4.2,61.5,0,0,0,,,,,17.4,82.8,1012.4,66.8,9,,,,,2008-12-08T06:58:08,2008-12-08T17:57:54,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-09,22.2,4.1,14.3,22.2,4.1,14.3,3,51.7,0,0,0,,,,,18.6,143.8,1011.1,71.4,11,,,,,2008-12-09T06:58:44,2008-12-09T17:58:12,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-10,24.9,2.1,14.7,24.9,2.1,14.6,3.3,52.1,0,0,0,,,,,21.6,105.6,1010.6,6.8,11.3,,,,,2008-12-10T06:59:20,2008-12-10T17:58:30,0.46,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-11,21.1,3.1,12.2,21.1,0.5,11.7,0.6,52.7,0,0,0,,,,,14.8,19.9,1013.9,57,8.2,,,,,2008-12-11T06:59:56,2008-12-11T17:58:51,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-12,22.4,-0.9,11.3,22.4,-0.9,11,-0.4,51,0,0,0,,,,,27.7,55.3,1013.4,21.2,9,,,,,2008-12-12T07:00:32,2008-12-12T17:59:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-13,24.1,3.5,13.1,24.1,1.1,12.8,1.8,51.8,0,0,0,,,,,17.1,62.1,1013.5,35.6,8.7,,,,,2008-12-13T07:01:06,2008-12-13T17:59:34,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-14,24.9,2.1,13.7,24.9,1,13.5,2.5,55.4,0,0,0,,,,,18.2,97.3,1013.5,2.8,9.6,,,,,2008-12-14T07:01:41,2008-12-14T17:59:57,0.53,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-15,25.1,0.1,14.1,25.1,-3.1,13.9,-0.1,47.3,0,0,0,,,,,14.7,339.1,1015.1,19.1,8.7,,,,,2008-12-15T07:02:15,2008-12-15T18:00:21,0.56,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-16,24.2,4.8,15.9,24.2,2.5,15.7,-2.8,31.4,0,0,0,,,,,16.7,80.3,1013.4,46.8,9.3,,,,,2008-12-16T07:02:48,2008-12-16T18:00:47,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-17,23.9,1.1,14.8,23.9,1.1,14.6,1.5,45.4,0,0,0,,,,,16.7,95.1,1013.7,70.3,10.4,,,,,2008-12-17T07:03:21,2008-12-17T18:01:13,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-18,26,-1.9,12.2,26,-1.9,12.2,-1,50.4,0,0,0,,,,,29.5,172.8,1014.2,5.6,11.3,,,,,2008-12-18T07:03:53,2008-12-18T18:01:40,0.71,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-19,24.5,6.1,15.5,24.5,4.5,15.4,-1.8,37.3,0,0,0,,,,,22.8,21.4,1014.5,0,11.4,,,,,2008-12-19T07:04:25,2008-12-19T18:02:08,0.76,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-20,24.1,-2.9,11,24.1,-2.9,11,-2.3,47.8,0,0,0,,,,,11.7,237.7,1013.5,1,10.8,,,,,2008-12-20T07:04:56,2008-12-20T18:02:37,0.81,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-21,24.4,-2.9,13.7,24.4,-2.9,13.3,-4.9,34.9,0,0,0,,,,,20,350.3,1012.6,0,11.4,,,,,2008-12-21T07:05:26,2008-12-21T18:03:07,0.86,Clear,Clear conditions throughout the day.,clear-day,"76675399999,76679399999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-22,21.1,3.1,12,21.1,1,11.3,2.4,57.2,0,0,0,,,,,20.1,118.2,1013.5,8.7,10,,,,,2008-12-22T07:05:55,2008-12-22T18:03:37,0.9,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-23,22.2,-1.9,12.5,22.2,-1.9,12.4,1.7,55.2,0,0,0,,,,,16.2,73.5,1014.5,32.2,11.3,,,,,2008-12-23T07:06:24,2008-12-23T18:04:09,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-24,29.1,-1.9,14,27.5,-1.9,13.8,1.9,50.4,0,0,0,,,,,18.4,9.3,1016.1,5.5,10.2,,,,,2008-12-24T07:06:51,2008-12-24T18:04:41,0.97,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-25,21.1,0.7,12.5,21.1,0.7,12.3,0.2,47.7,0,0,0,,,,,15.3,131.3,1019,6.5,9.9,,,,,2008-12-25T07:07:18,2008-12-25T18:05:14,0.99,Clear,Clear conditions throughout the day.,clear-day,"76675399999,76679399999,76683099999,76675099999,76685099999"
la paz mexico,2008-12-26,22.9,2.1,13.1,22.9,2.1,12.9,0.3,47.2,0,0,0,,,,,20.5,152,1016.3,24.9,11.5,,,,,2008-12-26T07:07:44,2008-12-26T18:05:47,1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-27,23,1.1,13.1,23,1.1,13,0.1,46.2,0,0,0,,,,,25.9,152.2,1014.8,20.1,16.3,,,,,2008-12-27T07:08:09,2008-12-27T18:06:21,1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2008-12-28,25.4,-1.9,12.6,25.4,-4.9,12.4,0.7,51.1,0,0,0,,,,,17.1,96.5,1016.8,21.9,12.5,,,,,2008-12-28T07:08:33,2008-12-28T18:06:56,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76683099999,76675099999,76685099999"
la paz mexico,2008-12-29,29.1,2.1,12.8,27.7,2.1,12.5,4.9,63.2,0,0,0,,,,,16.7,20.3,1017.2,41.8,9.1,,,,,2008-12-29T07:08:57,2008-12-29T18:07:31,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76675099999,76685099999"
la paz mexico,2008-12-30,20.9,-1.9,11.5,20.9,-1.9,11.3,4.2,65.6,0,0,0,,,,,14.7,94.5,1015.6,34.8,11,,,,,2008-12-30T07:09:19,2008-12-30T18:08:07,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76675099999,76685099999"
la paz mexico,2008-12-31,22.1,1.1,12.3,22.1,1.1,12.1,2.6,57.1,0,0,0,,,,,20.5,46.8,1013.2,33,10.2,,,,,2008-12-31T07:09:40,2008-12-31T18:08:43,0.07,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2009-01-01,21.1,0.1,11.5,21.1,0.1,11.1,2.4,59.2,0,0,0,,,,,24.1,356.1,1012.5,31.2,8.5,,,,,2009-01-01T07:09:59,2009-01-01T18:09:19,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2009-01-02,22.4,0.1,12.4,22.4,0.1,12.3,1.1,52,0,0,0,,,,,22.3,194.1,1013.6,46.6,13.2,,,,,2009-01-02T07:10:18,2009-01-02T18:09:56,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76683099999,76675099999,76685099999"
la paz mexico,2009-01-03,24.4,1.1,12.2,24.4,-0.6,11.7,3.8,61.6,0,0,0,,,,,13,161.9,1010.2,18.1,8.3,,,,,2009-01-03T07:10:36,2009-01-03T18:10:33,0.2,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76683099999,76675099999,76685099999"
la paz mexico,2009-01-04,23.9,3.4,14.5,23.9,3.4,14.3,4.5,57.5,0,0,0,,,,18,19.4,106,1012.4,8.4,7.4,,,,,2009-01-04T07:10:53,2009-01-04T18:11:11,0.25,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76683099999,76675099999,76685099999"
la paz mexico,2009-01-05,23.2,1.1,13.1,23.2,0.6,12.8,1.9,54,0,0,0,,,,21.6,21.6,142.4,1012.2,0.6,10.3,,,,,2009-01-05T07:11:09,2009-01-05T18:11:49,0.31,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2009-01-06,23.9,4.1,14.9,23.9,4.1,14.8,0.7,42.4,0,0,0,,,,,18.7,140.4,1009.4,28.7,14.3,,,,,2009-01-06T07:11:23,2009-01-06T18:12:27,0.36,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2009-01-07,24.5,-1.9,12.1,24.5,-3.5,11.9,0.4,49.6,0,0,0,,,,,20.5,125.5,1010.9,59.6,10.5,,,,,2009-01-07T07:11:36,2009-01-07T18:13:06,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2009-01-08,25.1,-2.9,14.1,25.1,-2.9,14,-2,40.1,0,0,0,,,,,18.4,98.4,1011.4,17,9.3,,,,,2009-01-08T07:11:49,2009-01-08T18:13:45,0.45,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
la paz mexico,2009-01-09,26.8,-0.9,13.8,25.9,-0.9,13.6,-0.6,44.1,0,0,0,,,,,20.2,101.5,1011.5,10.8,8.4,,,,,2009-01-09T07:11:59,2009-01-09T18:14:24,0.48,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,76683099999,76685099999,76675099999"
