name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
la paz mexico,2012-12-01,22.5,3.1,13.9,22.5,3.1,13.8,4.8,57.6,0,0,0,,,,,22.3,89.6,1013.7,59.4,10.3,215,18.5,8,,2012-12-01T06:53:47,2012-12-01T17:56:22,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-02,22.1,1.1,12.5,22.1,1.1,12.4,2.6,55.2,0,0,0,,,,,20.5,27.7,1014.8,24.1,12.1,230.5,19.9,8,,2012-12-02T06:54:24,2012-12-02T17:56:31,0.57,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76681099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-03,22.5,1.1,13.3,22.5,1.1,13.1,1.1,47.1,0,0,0,,,,,24.1,358.3,1012.8,22.6,12.9,237.8,20.6,9,,2012-12-03T06:55:02,2012-12-03T17:56:42,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-04,22.8,1.1,13,22.8,-0.6,12.8,0.8,49.1,0,0,0,,,,,26.8,35.2,1013.3,40.4,14.9,238.8,20.7,9,,2012-12-04T06:55:39,2012-12-04T17:56:54,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2012-12-05,23.4,4.6,13.7,23.4,3.5,13.5,1.2,45.3,0,0,0,,,,,24,1.8,1014.5,7.1,16.4,238.1,20.7,9,,2012-12-05T06:56:17,2012-12-05T17:57:07,0.7,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-06,26,-1.9,12.3,26,-1.9,12.1,1.5,55.2,0,0,0,,,,,9.4,1.6,1012.6,2.9,11.9,241.4,20.9,9,,2012-12-06T06:56:54,2012-12-06T17:57:21,0.75,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76727099999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999"
la paz mexico,2012-12-07,22.6,0.1,11.7,22.6,-1.7,11.3,1.7,54.8,0,0,0,,,,,33.5,124,1011.1,39.7,9.8,231.1,20,8,,2012-12-07T06:57:31,2012-12-07T17:57:37,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76727099999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-08,23.1,2.1,12.8,23.1,2.1,12.6,1.9,51.9,0,0,0,,,,,22.2,97.5,1010.8,48,12.6,225.9,19.3,8,,2012-12-08T06:58:07,2012-12-08T17:57:53,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,remote,76683099999,MMMX,76685099999,76675099999"
la paz mexico,2012-12-09,22.4,0.1,12.1,22.4,0.1,11.9,2.3,56.4,0,0,0,,,,,13,163.9,1012.2,39.4,10.7,205.4,17.7,8,,2012-12-09T06:58:44,2012-12-09T17:58:11,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2012-12-10,24.8,0.1,13,24.8,-1.7,12.9,3.8,58.5,0,0,0,,,,38.9,18.4,156.9,1009.5,53.8,11.1,176.6,15.5,6,,2012-12-10T06:59:20,2012-12-10T17:58:30,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,76683099999,76675099999,76685099999,MMMX"
la paz mexico,2012-12-11,22.5,6.1,15.4,22.5,6.1,15.4,4.9,53.3,0,0,0,,,,,19.2,222.2,1007.8,75.5,12.2,219.6,19,8,,2012-12-11T06:59:56,2012-12-11T17:58:50,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-12,22.4,4.1,13.9,22.4,4.1,13.9,3.9,55.2,0,0,0,,,,,17.6,129.9,1011.1,63.9,12.6,193.5,16.7,8,,2012-12-12T07:00:31,2012-12-12T17:59:11,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2012-12-13,24,3.1,13.5,24,1,13.4,4.5,59.9,0,0,0,,,,,14.8,239.3,1014.1,60.5,10.3,209.8,18.1,8,,2012-12-13T07:01:06,2012-12-13T17:59:34,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,remote,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2012-12-14,23.8,0.1,13.3,23.8,0.1,13.2,4.3,59.8,0,0,0,,,,,18.4,287,1013,21.7,10.9,233.3,20,8,,2012-12-14T07:01:40,2012-12-14T17:59:57,0.01,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2012-12-15,24.7,2.1,14.4,24.7,0.6,14.3,4.5,57.1,0,0,0,,,,,20.5,133.1,1011.8,28.3,9.4,230.9,19.9,8,,2012-12-15T07:02:14,2012-12-15T18:00:21,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-16,25.9,2.1,14.4,25.9,2.1,14.3,4.4,56.4,0,0,0,,,,,27.7,183.8,1009.4,7.9,11.2,228.6,19.7,8,,2012-12-16T07:02:48,2012-12-16T18:00:47,0.07,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,remote,76683099999,76685099999,76675099999"
la paz mexico,2012-12-17,24.2,-0.9,14.3,24.2,-2.8,14.1,2,49.8,0,0,0,,,,,16.6,73.7,1008.7,16.6,11.1,232.8,20.1,8,,2012-12-17T07:03:20,2012-12-17T18:01:13,0.11,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-18,24.5,1.1,13.2,24.5,1.1,13.2,5.7,65.6,0,0,0,,,,,25.9,134.1,1008.6,21.3,9.1,218.6,19,8,,2012-12-18T07:03:52,2012-12-18T18:01:40,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2012-12-19,25.5,5.1,14.6,25.5,5.1,14.6,5.6,59.1,0,0,0,,,,,13.7,197.7,1009.2,17.1,10.5,224.9,19.5,8,,2012-12-19T07:04:24,2012-12-19T18:02:08,0.21,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76727099999,76680099999,MMCB,remote,76683099999,MMMX,76685099999,76675099999"
la paz mexico,2012-12-20,23.4,0.1,13.6,23.4,-2.5,13.3,5.7,62.6,0.1,100,4.17,rain,,,48.2,29.5,16.6,1010.9,19.7,9.2,229.2,19.7,8,,2012-12-20T07:04:55,2012-12-20T18:02:37,0.26,Rain,Clear conditions throughout the day with afternoon rain.,rain,"76726099999,76675399999,MMPB,76679399999,76727099999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMMX"
