name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
la paz mexico,2020-12-01,25,8.9,14.9,25,8.4,14.8,6.2,58.1,0.036,100,4.17,rain,0,0,36,22.3,125.5,1012.5,82.1,11.5,171.4,14.8,7,,2020-12-01T06:53:50,2020-12-01T17:56:23,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,76683099999,76675099999,MMTO,76685099999,MMMX"
la paz mexico,2020-12-02,22.7,8.2,15.8,22.7,8.2,15.8,5.4,53.2,0.146,100,8.33,rain,0,0,32.4,17.6,144.7,1010.4,62,14,220,19.1,8,,2020-12-02T06:54:27,2020-12-02T17:56:33,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,76683099999,76685099999,76675099999,MMTO,MMMX"
la paz mexico,2020-12-03,27,8.7,15.9,26.5,7.8,15.8,5.6,52.7,0,0,0,,0,0,32.4,35.3,146.7,1011.1,57.8,14.9,208.7,18.1,8,,2020-12-03T06:55:05,2020-12-03T17:56:43,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,MMPB,76679399999,MMCB,76680099999,remote,76683099999,76685099999,MMMX,76675099999,MMTO"
la paz mexico,2020-12-04,27,10,16.5,26.7,10,16.5,6.7,54.3,0,0,0,,0,0,,21.3,164.7,1012.2,66.4,15.6,179.8,15.4,8,,2020-12-04T06:55:42,2020-12-04T17:56:55,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,remote,76683099999,MMTO,MMMX,76675099999,76685099999"
la paz mexico,2020-12-05,22.9,11.4,16.1,22.9,11.4,16.1,5.6,51.6,0,0,0,,0,0,25.2,25.9,163.5,1011.4,45.8,16.5,214.4,18.5,8,,2020-12-05T06:56:20,2020-12-05T17:57:08,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,76683099999,MMMX,MMTO,76685099999,76675099999"
la paz mexico,2020-12-06,22,6,15,22,6,14.9,6.7,60.6,0,0,0,,0,0,14.4,22.3,145.1,1011.8,66.2,12.7,136.3,11.6,5,,2020-12-06T06:56:57,2020-12-06T17:57:23,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76675399999,76679399999,76670099999,76680099999,MMCB,remote,76683099999,MMMX,MMTO,76685099999,76675099999"
la paz mexico,2020-12-07,21.9,5,14.3,21.9,3.2,14.2,6.9,62.6,0.097,100,4.17,rain,0,0,,22.3,349.4,1013,78.8,11.5,183.7,15.9,7,,2020-12-07T06:57:34,2020-12-07T17:57:38,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,remote,76683099999,MMMX,76675099999,MMTO,76685099999"
la paz mexico,2020-12-08,22.1,3.1,14.8,22.1,1,14.7,5.3,55.9,0,0,0,,0,0,28.8,18.4,23.2,1015.9,72.1,9.6,208.6,17.9,8,,2020-12-08T06:58:10,2020-12-08T17:57:55,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,76685099999,MMTO,MMMX,76675099999"
la paz mexico,2020-12-09,22.2,5,14.8,22.2,4.6,14.6,4.1,51.6,0.017,100,4.17,rain,0,0,,15.5,10.8,1016.4,67.4,10.1,218.4,18.7,8,,2020-12-09T06:58:47,2020-12-09T17:58:13,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,76683099999,76685099999,76675099999,MMMX,MMTO"
la paz mexico,2020-12-10,28,7.3,16.9,27.2,7.3,16.8,4.3,45.7,0,0,0,,0,0,40.7,21.6,130.9,1012.4,54.5,11.2,220.4,19.2,8,,2020-12-10T06:59:23,2020-12-10T17:58:32,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,remote,76683099999,MMTO,MMMX,76685099999,76675099999"
